key;en;fa;ku;ar;bal;az
x_skip_to_content;Skip to content;رفتن به محتوا;بچۆ بۆ ناوەڕۆک;انتقل إلى المحتوى;محتوا ءَ بروئیت;مضمونا کئچ
x_share_your_expectations;Share Your Expectations;انتظارات خود را بنویسید;چاوەڕوانیەکانت بنووسە;شارك توقعاتك;وتی چاریگاں بہ‌نویس اِت;گؤزلنتیلرینیزی پایلاشین
x_wg1;WG1 · Diplomatic Representation;کارگروه ۱ · نمایندگی دیپلماتیک;گرووپی کار ١ · نوێنەرایەتیی دیپلۆماتیک;مجموعة ١ · التمثيل الدبلوماسي;کار ءِ گرۏپ ۱ · ڈݔپلۏماسی ءِ نماندگی;ایشچی قروپ ۱ · دیپلوماتیک نوماینده‌لیک
x_wg2;WG2 · Public Participation Tools;کارگروه ۲ · ابزارهای مشارکت مردمی;گرووپی کار ٢ · ئامرازەکانی بەشداری گشتی;مجموعة ٢ · أدوات المشاركة العامة;کار ءِ گرۏپ ۲ · راجی پدگیری ءِ ھاژہ (ابزاراں);ایشچی قروپ ۲ · ایجتیماعی ایشتیراک آلتلری
x_secure_decentralized_financial_mechanisms_sanction;Secure, decentralized financial mechanisms — sanctions-compliant, transparent, participatory budgeting.;مکانیزم‌های مالی امن و غیرمتمرکز — سازگار با تحریم‌ها، شفاف، بودجه‌ریزی مشارکتی.;مێکانیزمی دارایی پارێزراو و نامەرکەزی — هاوئاهەنگ لەگەڵ چەسپاندنەکان، ڕوون، بودجەبەندی بەشدارانە.;آليات مالية آمنة ولامركزية — متوافقة مع العقوبات، شفافة، موازنة تشاركية.;سلامت ءُ ناتمرکزݔں مالی مکانیزم — تحریمانی ھمگرنچ، شپاک، پدگیری ءِ بوُجہ‌بندی.;تهلوکه‌سیز، دئسئنترالیزه مالیه مکانیزملری — سانکسییالارا اویغون، شفاف، ایشتیراکچی بودجه‌لشدیرمه.
x_wg3;WG3 · Financial Participation & DeFi;کارگروه ۳ · مشارکت مالی;گرووپی کار ٣ · بەشداری دارایی و DeFi;مجموعة ٣ · المشاركة المالية و DeFi;کار ءِ گرۏپ ۳ · مالی پدگیری ءُ دیپھائی (DeFi);ایشچی قروپ ۳ · مالی ایشتیراک و DeFi
x_connect_activists_safely_expand_the_opposition_net;Connect activists safely, expand the opposition network, operational security training and resources.;ارتباط امن کنش‌گران، توسعه‌ی شبکه‌ی اپوزیسیون، آموزش و منابع امنیت عملیاتی.;پەیوەندیی پارێزراوی چالاکوانان، فراوانکردنی تۆڕی ئۆپۆزسیۆن، ڕاهێنان و سەرچاوەکانی پاراستنی کاری.;ربط الناشطين بأمان، وتوسيع شبكة المعارضة، وتوفير التدريب والموارد في الأمن التشغيلي.;چالاکوانانی سلامتݔں ھمگرنچ، اپۏزیسیۏن ءِ نݔٹورک ءِ پراہ کنگ، ءُ کرداری سلامتی ءِ تالیم ءُ سرچمگاں.;آکتیویستلری تهلوکه‌سیز بیرلشدیرمک، موخالیفت شبکه‌سینی گئنیشلندیرمک، عملیاتی تهلوکه‌سیزلیک تعلیمی و قایناقلاری.
x_wg4;WG4 · Secure Network Building;کارگروه ۴ · شبکه‌سازی امن;گرووپی کار ٤ · دروستکردنی تۆڕی پارێزراو;مجموعة ٤ · بناء شبكات آمنة;کار ءِ گرۏپ ۴ · سلامتݔں نݔٹورک‌سازی;ایشچی قروپ ۴ · تهلوکه‌سیز شبکه‌لشمه
x_open_pipeline_for_attracting_evaluating_and_deploy;Open pipeline for attracting, evaluating, and deploying new ideas from anyone, anywhere.;بستر‌ی ارتباطی باز برای جذب، ارزیابی و به‌کارگیری ایده‌های نوین از هر کسی، هر کجا.;هێڵێکی کراوە بۆ ڕاکێشان، هەڵسەنگاندن و بەکارخستنی بیرۆکە نوێکان لە هەر کەسێک، لە هەر شوێنێک.;مسار مفتوح لاستقطاب وتقييم وتطبيق الأفكار الجديدة من أي شخص وفي أي مكان.;ھر کس ءُ ھر جاگہ ءَ چہ نۏکݔں ھیالانی کشگ، ٹپاسگ ءُ کارمرز کنگ ءِ پچݔں رھسر.;هر کَسدن، هر یئردن یئنی فیکیرلری جذب، ده‌یرلندیرمه و تطبیق اوچون آچیق بستر.
x_wg5;WG5 · Innovation & Ideas;کارگروه ۵ · ایده‌پردازی;گرووپی کار ٥ · داهێنان و بیرۆکە;مجموعة ٥ · الابتكار والأفكار;کار ءِ گرۏپ ۵ · نۏک‌آوری ءُ ھیال;ایشچی قروپ ۵ · اینوواسییا و ایده یاراتما
x_design_the_continuous_engagement_platform_governan;Design the continuous engagement platform — governance structure, participation cycles, accountability.;طراحی پلتفرم مشارکت پیوسته. ساختار حکمرانی، چرخه‌های مشارکت، پاسخگویی نهادینه.;دیزاینی پلاتفۆرمی بەشداریی بەردەوام — ڕێکخستنی بەڕێوەبردن، خولەکانی بەشداری، بەرپرسیارێتیی دامەزراو.;تصميم منصة المشاركة المستمرة — هيكل الحوكمة، ودورات المشاركة، والمساءلة المؤسسية.;مدامیݔں پدگیری ءِ پلتپۏرم ءِ ڈݔزائن — سررشتگی ءِ دْروشُم، پدگیری ءِ خۏل، ءُ ادارگی جۏاب‌دھی.;داواملی ایشتیراک پلاتفورمونون دیزاینی — ایداره‌ائتمه ایستروکتورو، ایشتیراک دؤورلری، نهادی جاوابده‌لیک.
x_wg6;WG6 · Political Participation Space;کارگروه ۶ · فضای مشارکت سیاسی;گرووپی کار ٦ · بۆشایی بەشداری سیاسی;مجموعة ٦ · فضاء المشاركة السياسية;کار ءِ گرۏپ ۶ · سیاسی پدگیری ءِ جاگہ;ایشچی قروپ ۶ · سیاسی ایشتیراک فضاسی
x_professional_mediation_for_iran_s_damaged_politica;Professional mediation for Iran's damaged political space — protocols, trained mediators, trust repair.;میانجی‌گری حرفه‌ای برای فضای سیاسی آسیب‌دیده‌ی ایران: پروتکل‌ها، میانجی‌گران آموزش‌دیده، بازسازی اعتماد.;نێوبژیوانیی پیشەیی بۆ بۆشایی سیاسیی زیانلێدراوی ئێران: پڕۆتۆکۆڵەکان، نێوبژیوانانی ڕاهێنراو، نۆژەنکردنەوەی متمانە.;وساطة مهنية لحيّز إيران السياسي المتضرر: بروتوكولات، ووسطاء مدرّبون، وإعادة بناء الثقة.;ایران ءِ زیان‌رسیتگݔں سیاسی جاگہ ءِ واستہ پݔشہ‌کارݔں نݔمگی‌گری: پرۏتۏکۏل، تالیم‌دیتگݔں نݔمگی‌گر، ءُ متمان ءِ پدا جۏڑ کنگ.;ایرانین زیده‌لنمیش سیاسی فضاسی اوچون پئشه‌کار واسطه‌چیلیک: پروتوکوللار، تعلیم گؤرموش واسطه‌چیلر، اعتیمادین بەرپاسی.
x_wg7;WG7 · Mediation & Conflict Resolution;کارگروه ۷ · حل اختلاف;گرووپی کار ٧ · ناوبژیوانی و چارەسەری ناکۆکی;مجموعة ٧ · الوساطة وحل النزاعات;کار ءِ گرۏپ ۷ · نݔمگی‌گری ءُ جݔڑہ‌ھانی گݔش‌وگوار;ایشچی قروپ ۷ · واسیطه‌چیلیک و موناخیشه‌لرین حللی
x_digital_government_civil_defense_and_civic_educati;Digital government, civil defense, and civic education — concrete programs with volunteer teams.;دولت دیجیتال، دفاع مدنی و آموزش شهروندی — برنامه‌های مشخص با تیم‌های داوطلب.;حکوومەتی دیجیتاڵ، بەرگری شارستانی و خوێندنی هاوڵاتی — بەرنامەی دیار بە تیمی خۆبەخش.;حكومة رقمية، دفاع مدني، وتعليم مدني — برامج محددة بفرق متطوعة.;ڈیجیٹالی سرکار، شھری دپاہ، ءُ راجی تالیم — پکاݔں پروگرام گۏں رزا کارݔں ٹݔماں.;دیجیتال حؤکومت، مولکی مودافیعه و وطنداش تعلیمی — کؤنوللو کوماندا ایله کونکرئت پروقراملار.
x_wg8;WG8 · Digital Programs;کارگروه ۸ · دولت دیجیتال / دفاع مدنی / آموزش;گرووپی کار ٨ · بەرنامە دیجیتاڵییەکان;مجموعة ٨ · الحكومة الرقمية / الدفاع المدني / التعليم;کار ءِ گرۏپ ۸ · ڈیجیٹالی پروگراماں;ایشچی قروپ ۸ · دیجیتال دؤولت / مۆلکی مودافیعه / تحصیل
x_wg9;WG9 · Ecology;کارگروه ۹ · اکولوژی;گرووپی کار ٩ · ژینگه;مجموعة ٩ · الإيكولوجيا;کار ءِ گرۏپ ۹ · ایکولۏجی (چاگرد);ایشچی قروپ ۹ · ائکولوژیا (ژینگه)
x_20_30_22_30_irst;20:30–22:30 IRST;به وقت ایران;بە کاتی ئێران;بتوقيت إيران;به وقت ایران;به وقت ایران
x_20_30_22_30_irst_2;20:30–22:30 IRST;به وقت ایران;بە کاتی ئێران;بتوقيت إيران;به وقت ایران;به وقت ایران
x_async_on_channels_action_items_executed_documentation;Async on channels · Action items executed · Documentation updated · Preparation for next weekend;فعالیت غیرهمزمان در کارگروه‌ها · اجرای تکالیف · به‌روزرسانی مستندات · آماده‌سازی برای آخر هفته‌ی بعد;کاری ناهاوکات لە سلاک · جێبەجێکردنی ئەرکەکان · نوێکردنەوەی بەڵگەنامەکان · ئامادەبوون بۆ کۆتایی هەفتەی داهاتوو;عمل غير متزامن على سلاك · تنفيذ المهام · تحديث الوثائق · التحضير لنهاية الأسبوع القادم;سلاک ءِ سر ءَ ناھمزامن · کاراں کنگ بوت اَنت · دستاوݔز نۏک کنگ بوت اَنت · آتکݔں ھپتگ ءِ آخرا تیاری;ده آسینخرون ایش · تاپشیریقلارین ایجراسی · سندلرین یئنیلنمه‌سی · گلن هفته‌سونونا هازیرلیق
x_difc_call_to_action;— DIFC Call to Action;— فراخوان مشارکت در کنگره;— بانگەوازی بەشداریکردن لە کۆنگرە;— دعوة المؤتمر للعمل;— ڈی آئی ایپ سی (DIFC) کار ءِ لوٹ;— DIFC فاعلیته چاغیریش
x_all_verified_members_zkp_based_convenes_quarterly;All verified members (ZKP-based). Convenes quarterly at 18:00 CET (20:30 IRST) to include diaspora and Iran. Coordination Council members required to participate in 2 of 4 quarterly sessions to retain status.;تمام اعضای تایید شده (مبتنی بر ZKP) می توانند در گردهمایی فصلی شورای هماهنگی شرکت کنند. حضور اعضا در ۲ از ۴ جلسه فصلی برای حفظ حق عضویت الزامیست. زمان شروع گردهمایی فصلی راس ساعت ۱۸:۰۰ به وقت اروپای مرکزی به منظورفراهم کردن امکان مشارکت همزمان اعضای دیاسپورا و ایران در نظرگرفته شده است. ;هەموو ئەندامانی پشتڕاستکراو (لەسەر بنەمای ZKP). بۆ گونجاندنی دیاسپۆرا و ناوخۆی ئێران، کۆبوونەوەی وەرزی لە ١٨:٠٠ CET (٢٠:٣٠ IRST) دەکرێت. بۆ پاراستنی مافی ئەندامێتی، پێویستە ئەندامانی ئەنجوومەنی هاوئاهەنگی لە ٢ لە ٤ دانیشتنی وەرزی بەشداربن.;جميع الأعضاء المُتحقق منهم (بناءً على ZKP). تُعقد الجلسة الفصلية عند ١٨:٠٠ CET (٢٠:٣٠ IRST) لضمان إشراك الشتات وداخل إيران. وللاحتفاظ بالصفة، يُشترط على أعضاء مجلس التنسيق المشاركة في ٢ من أصل ٤ جلسات فصلية.;دراھݔں پکاݔں بھردار (ZKP ءِ سر ءَ). دیاسپۏرا ءُ ایران ءِ تہا مردمانی ھوار کنگ ءِ واستہ، چارماھی دیوان ۱۸:۰۰ CET (۲۰:۳۰ IRST) ءَ بندوبست بنت. مافی بھرداری ءِ رکݔنگ ءِ واستہ، ھمگرنچی ءِ شۏرا ءِ بھرداراں ءَ ۴ چارماھی دیواناں چہ ۲ دیوان ءَ ھوار بئیگ زروٗری اِنت.;بوتون تصدیقلنمیش اوزولر (ZKP اساسلی). دیاسپورا و ایران داخیلینده‌کی ایشتیراکی تأمین ائتمک اوچون فصلی توپلانتی ۱۸:۰۰ CET (۲۰:۳۰ IRST) وقتینده کئچیریلیر. عضولوق وضعیتی‌نی ساخلاماق اوچون، کووردیناسیا شوراسی اوزولری ۴ فصلی جلسه‌دن اِن آز ۲‌سینه قاتیلماق مجبوریتینه صاحیبدیر.
x_15_21_elected_members_6_month_staggered_terms_max;15–21 elected members. 6-month staggered terms, max 2 consecutive. Elected via Ranked Pairs. Monthly public reports. Diversity requirements enforced. ;۱۵–۲۱ عضو منتخب. دوره‌های ۶ ماهه‌ی تناوبی با حداکثر ۲ دوره‌ی متوالی. انتخاب با رای‌گیری رتبه‌بندی‌شده. انتشار ماهانه گزارش کارها. فرهنگ دگردوستی و مسئولیت‌پذیری.;١٥–٢١ ئەندامی هەڵبژێردراو. خولی نۆرەیی ٦ مانگ، زۆرینە ٢ خولی یەکلاپشتەوە. هەڵبژاردن بە دەنگدانی ڕیزبەندیکراو. ڕاپۆرتی گشتیی مانگانە. کولتووری فرەیی و بەرپرسیارێتی جێبەجێ دەکرێت.;١٥–٢١ عضواً منتخباً. فترات متناوبة مدتها ٦ أشهر، بحد أقصى فترتان متتاليتان. الانتخاب عبر التصويت الترتيبي. تقارير عامة شهرية. ترسيخ ثقافة التنوع والمسؤولية.;۱۵–۲۱ گچݔن بوتگݔں بھردار. ۶ ماھی نۏبتی دْروشُم، گݔشترݔں ۲ بر ءَ آتکگݔں. درجہ‌بندی بوتگݔں جوڑیانی (Ranked Pairs) رھسرا گچݔن بنت. ماھانہ عامݔں راپۏرٹاں. چشݔدلیک ءُ جۏاب‌دھی ءِ کلتور مھکم بنت.;۱۵–۲۱ سئچیلمیش اوزو. ۶ آیلیق نؤبه‌لی دؤوره‌لر، ماکسیموم ۲ آردیجیل دؤور. سیرالامالی سس‌وئرمه ایله سئچیلیر. آیلیق ایجتیماعی راپورتلار. موختلیف‌لیک و جاوابده‌لیک مدنیه‌تی تطبیق اولونور.
x_self_organizing_open_membership_facilitators_elect;Self-organizing, open membership. Facilitators elected for 3-month terms by WG members. Weekly output reports. Any member can escalate to CC.;خودسازمان‌ده، عضویت آزاد. تسهیل‌گران با دوره‌های ۳ ماهه توسط اعضای کارگروه انتخاب می‌شوند. گزارش خروجی هفتگی. هر عضوی می‌تواند مسائل را به شورا ارجاع دهد.;خۆڕێکخەر، ئەندامایەتی کراوە. ئاسانکاران بە ماوەی ٣ مانگ لەلایەن ئەندامانی گرووپی کارەوە هەڵدەبژێردرێن. ڕاپۆرتی دەرئەنجامی هەفتانە. هەر ئەندامێک دەتوانێت بابەتەکان بۆ ئەنجوومەن بگوازێتەوە.;ذاتية التنظيم، عضوية مفتوحة. ميسّرون منتخبون لفترات من ٣ أشهر. تقارير مخرجات أسبوعية. أي عضو يمكنه تصعيد القضايا للمجلس.;وت‌سازمانی، پچݔں بھرداری. آساں‌کار ۳-ماھی وھد ءِ واستہ کار-گرۏپانی بھردارانی نݔمگ ءَ گچݔن بنت. ھپتگانہ درآرانی راپۏرٹاں. ھر بھردارے شۏرا ءِ دݔما گپاں برت کنت.;اؤز-تشکیلاتلانما، آچیق اوزولوک. فاسیلیتاتورلار ایشچی قروپ اوزولری طرفیندن ۳ آیلیق دؤوره اوچون سئچیلیر. هفته‌لیک نتیجه راپورتلاری. هر اوزو مسأله‌نی کووردیناسیا شوراسینا (CC) قالدیرا بیلر.
x_elected_rotating_accountable;Elected · Rotating · Accountable;منتخب · چرخشی · پاسخگو;هەڵبژێردراو · خولانەوە · بەرپرس;منتخب · دوري · مُساءَل;گچݔن بوتگݔں · خولانگ · جۏاب‌دہ;سئچیلمیش · دؤوری · جاوابده
x_3_elected_auditors_independent_of_cc_and_wgs_can_i;3 elected auditors, independent of CC and WGs. Can investigate anything. Publish findings directly to GA. Trigger recall votes. No executive power — only sunlight.;۳ بازرس منتخب، مستقل از شورا و کارگروه‌ها، می‌توانند هر چیزی را بررسی کنند، و یافته‌ها را مستقیماً به مجمع عمومی و افکار عمومی  گزارش ‌دهند. ;٣ پشکنەری هەڵبژێردراو، سەربەخۆ لە ئەنجوومەن و گرووپە کارەکان. دەتوانن هەر شتێک لێکۆڵینەوە بکەن و دۆزینەوەکان ڕاستەوخۆ بۆ کۆبوونەوەی گشتی و بۆ ڕای گشتی بڵاو بکەنەوە.;٣ مدققين منتخبين، مستقلين عن مجلس التنسيق ومجموعات العمل. يمكنهم التحقيق في أي شيء، ونشر النتائج مباشرة للجمعية العامة وللرأي العام.;۳ گچݔن بوتگݔں ٹپاس‌کار (Auditors)، چہ شۏرا ءُ کار-گرۏپاں آزات. ھرچی یے ءَ ٹپاسگ کن اَنت ءُ دست‌آتکاں ءَ سݔدھا عامݔں دیوان ءُ عامݔں رائے ءَ شنگ کن اَنت.;۳ سئچیلمیش آودیتور، شورا و ایشچی قروپلاردان موستقیل. هر شئیی آراشدیرا بیلر و تاپینتیلاری بیرباشا باش مجلیسه و عمومنین رئ‌ینه ارائه ائده بیلر.
x_self_governing_open;Self-Governing · Open;خودگردان · باز;خۆبەڕێوەبەر · کراوە;ذاتية الحكم · مفتوحة;وتمختاری · پچ;اؤز-ایدارەچی · آچیق
x_independent_audit_transparency;Independent · Audit · Transparency;مستقل · بازرسی · شفافیت;سەربەخۆ · پشکنین · ڕوونی;مستقلة · تدقيق · شفافية;آزات · ٹپاسگ · شپاک;موستقیل · آودیت · شفافلیق
x_governance_accountability_mechanisms;Governance accountability mechanisms;سازوکارهای پاسخگویی حکمرانی;میکانیزمەکانی بەرپرسیاریەتی;آليات المساءلة والحوكمة;واکداری ءِ جۏاب‌دھی ءِ مکانیزم;ایداره‌ائتمه‌ده جاوابده‌لیک مکانیزملری
x_mechanism;Mechanism;سازوکار;مێکانیزم;الآلية;مکانیزم;مکانیزم
x_what_it_does;What It Does;عملکرد;کارەکەی;وظيفتها;اے چے کنت;بو نه ائدیر
x_meeting_time;Meeting time;زمان جلسات;کاتی کۆبوونەوە;وقت الاجتماع;دیوان ءِ وھد;ایجلاس واختی
x_all_sessions_at_18_00_20_00_cet_20_30_22_30_irst_c;All sessions at 18:00–20:00 CET (20:30–22:30 IRST) — chosen so diaspora and Iran can both attend;تمام نشست‌ها ساعت ۱۸:۰۰–۲۰:۰۰ به وقت اروپای مرکزی (۲۰:۳۰–۲۲:۳۰ به وقت ایران) — برای مشارکت همزمان داخل و دیاسپورا;هەموو کۆبوونەوەکان لە ١٨:٠٠–٢٠:٠٠ ی CET (٢٠:٣٠–٢٢:٣٠ ی IRST) — بۆ بەشداری دیاسپۆرا و ناوخۆ;جميع الجلسات الساعة ١٨:٠٠–٢٠:٠٠ بتوقيت وسط أوروبا (٢٠:٣٠–٢٢:٣٠ بتوقيت إيران) — لمشاركة الشتات وإيران معاً;دراھݔں دیوان ۱۸:۰۰–۲۰:۰۰ CET (۲۰:۳۰–۲۲:۳۰ IRST) — تاں دیاسپۏرا ءُ ایران ھوار بہ بنت;بوتون ایجلاسلار ساعت ۱۸:۰۰–۲۰:۰۰ CET (۲۰:۳۰–۲۲:۳۰ IRST) — دیاسپورا و ایرانین ایشتیراکی اوچون
x_participation_threshold;Participation threshold;آستانه‌ی مشارکت;ئاستی بەشداری;حد المشاركة;پدگیری ءِ کساس;ایشتیراک آستاناسی
x_must_vote_in_2_of_4_quarterly_sessions_to_keep_ver;Must vote in 2 of 4 quarterly sessions to keep verified status;باید در ۲ از ۴ جلسه‌ی فصلی رای بدهد تا وضعیت تاییدشده حفظ شود;دەبێ لە ٢ لە ٤ کۆبوونەوەی وەرز دەنگ بدات بۆ پاراستنی بارودۆخی پشتڕاستکراو;يجب التصويت في ٢ من ٤ جلسات فصلية للحفاظ على الحالة المُتحقق منها;وتی جاگہ ءِ رکݔنگ ءِ واستہ ۴ چارماھی دیواناں چہ ۲ دیوان ءَ رأی دیگ زروٗری اِنت;تأیید اولونموش وضعیتی ساخلاماق اوچون ۴ فصلی ایجلاسین ۲-سینده سس وئرمک واجیبدیر
x_staggered_elections;Staggered elections;انتخابات متناوب;هەڵبژاردنی نۆرەیی;انتخابات متناوبة;نۏبتی گچݔن‌کاری;نؤبه‌لی سئچکیلر
x_half_the_cc_rotates_every_6_months_always_a_fresh;Half the CC rotates every 6 months — always a fresh election;نصف شورا هر ۶ ماه تغییر می‌کند — همیشه انتخابات تازه;نیوەی ئەنجوومەن هەموو ٦ مانگ دەگۆڕێت — هەمیشە هەڵبژاردنی تازە;نصف المجلس يتغير كل ٦ أشهر — دائماً انتخابات جديدة;شۏرا ءِ نݔمگ ھر ۶ ماہ ءَ مٹ بیت — مدام نۏکݔں گچݔن‌کاری یے;شورانین یاریسی هر ۶ آیدا دییشیر — همیشه تزه سئچکی
x_recall_power;Recall power;قدرت عزل;دەسەڵاتی دەرکردن;سلطة العزل;پدا لۏٹگ ءِ واک;گری چاغیرما قدرتی
x_10_of_ga_can_trigger_recall_on_any_cc_member_at_an;10% of GA can trigger recall on any CC member at any time;۱۰٪ مجمع عمومی می‌تواند در هر زمان رای عزل هر عضو شورا را فعال کند;١٠٪ کۆبوونەوەی گشتی دەتوانێت هەر کاتێک دەنگدانی دەرکردنی هەر ئەندامێکی ئەنجوومەن چالاک بکات;١٠٪ من الجمعية يمكنهم تفعيل تصويت عزل أي عضو في أي وقت;عامݔں دیوان ءِ ۱۰٪ ھر وھد ءَ شۏرا ءِ ھر بھردارے ءِ پدا لۏٹگ ءَ بنگیج کت کنت;باش مجلیسین ۱۰٪-ی هر واخت شورا اوزوونون گری چاغیرما سس‌وئرمه‌سینی باشلادا بیلر
x_term_limits;Term limits;محدودیت دوره;سنووری ماوە;حدود الفترات;دْروشُم ءِ سیمسر;دؤوره محدودیتلری
x_cc_max_2_consecutive_watchdog_max_1_facilitators_m;CC: max 2 consecutive. Watchdog: max 1. Facilitators: max 3;شورا: حداکثر ۲ متوالی. ناظر: حداکثر ۱. تسهیل‌گران: حداکثر ۳;ئەنجوومەن: زۆرینە ٢ لەپشتیەکداهاتوو. چاودێر: زۆرینە ١. ئاسانکار: زۆرینە ٣;المجلس: حد أقصى ٢ متتاليتان. الرقابة: ١. الميسّرون: ٣;شۏرا: گݔشترݔں ۲ بر ءَ آتکگݔں. چارگݔر: گݔشترݔں ۱. آساں‌کار: گݔشترݔں ۳;شورا: ماکسیموم ۲ آردیجیل. ناظیر: ماکسیموم ۱. فاسیلیتاتورلار: ماکسیموم ۳
x_transparency_mandates;Transparency mandates;الزامات شفافیت;پێویستییەکانی ڕوونی;التزامات الشفافية;شپاک‌کاری ءِ پرماناں;شفافلیق طلب‌لری
x_cc_meetings_recorded_budgets_on_chain_monthly_publ;CC meetings recorded, budgets on-chain, monthly public reports;جلسات شورا ضبط می‌شود، بودجه‌ها روی زنجیره، گزارش عمومی ماهانه;کۆبوونەوەکانی ئەنجوومەن تۆمار دەکرێن، بودجەکان لەسەر زنجیرە، ڕاپۆرتی گشتی مانگانە;جلسات المجلس مسجلة، الميزانيات على السلسلة، تقارير عامة شهرية;شۏرا ءِ دیوان ریکارِڈ بنت، بوُجہ‌ھاں آن-چݔن بنت، ماھانہ عامݔں راپۏرٹاں;شورا ایجلاسلاری قئیده آلینیر، بودجه‌لر بلاکچئینده‌دیر، آیلیق خالق راپورتلاری
x_charter_amendment;Charter amendment;اصلاح اساسنامه;گۆڕانکاری بنەمانامە;تعديل الميثاق;رھبند ءِ مٹ ءُ بدلی;نظامنامه دییشیکلیگی
x_ga_can_change_the_rules_with_supermajority;GA can change the rules with ⅔ supermajority;مجمع عمومی می‌تواند قوانین را با اکثریت ⅔ تغییر دهد;کۆبوونەوەی گشتی دەتوانێت یاساکان بگۆڕێت بە زۆرینەی ⅔;يمكن للجمعية العامة تغيير القواعد بأغلبية ⅔;عامݔں دیوان رھبنداں ⅔ گݔشترݔں رأی ءَ گۏں مٹ کت کنت;باش مجلس قایدالاری ⅔ سس چوخلوغو ایله دییشه بیلر
x_absolute_red_lines;Absolute Red Lines;خطوط قرمز مطلق;هێڵە سوورە بەرزەکان;خطوط حمراء مطلقة;سکݔں سُھرݔں لکݔر;مطلق قیرمیزی خطلر
x_debating_future_government_form_republic_monarchy;Debating future government form (republic, monarchy, federation);بحث درباره‌ی شکل حکومت آینده (جمهوری، مشروطه، فدرال);گفتوگۆ لەسەر شێوەی حکوومەتی داهاتوو (کۆمار، مۆنارکی، فیدراڵ);مناقشة شكل الحكومة المستقبلية (جمهورية، ملكية، فيدرالية);آتکݔں سرکار ءِ دْروشُم ءِ سر ءَ گپ ءُ تران (جمھوری، بادشاہی، پݔڈریشن);گله‌جک حؤکومت فورماسی حاقیندا موباحیثه (جومهوریت، مونارخیا، فئدئراسیا)
x_disagreeing_about_foreign_intervention_s_role;Disagreeing about foreign intervention's role;مخالفت با نقش مداخله‌ی خارجی;ناکۆکبوون لەسەر ڕۆڵی دەستێوەردانی دەرەکی;الاختلاف حول دور التدخل الخارجي;درآمداں ءِ دست‌مان‌جنی ءِ رۏل ءِ سر ءَ ناتپاکی;خاریجی موخالیفه‌نین رولو حاقیندا فیکیر آیریلیغی
x_criticizing_other_opposition_strategies;Criticizing other opposition strategies;انتقاد از استراتژی‌های اپوزیسیون;ڕەخنەگرتن لە ستراتیژییەکانی ئۆپۆزسیۆن;انتقاد استراتيجيات المعارضة;اپۏزیسیۏن ءِ ستراتیژیانی سر ءَ ایراد;موخالیفت ستراتئژیالارینی تنقید ائتمک
x_expressing_ethnic_national_and_regional_identity;Expressing ethnic, national and regional identity;بیان هویت قومی، ملی و منطقه‌ای;دەربڕینی ناسنامەی ئیتنیکی، نەتەوەیی و ناوچەیی;التعبير عن الهوية العرقية، القومية والإقليمية;کئومی، راجی ءُ دمگی پجّار ءِ درشان;ائتنیک، میللی و بؤلگه‌سل کیملیگی ایفاده ائتمک
x_proposing_radical_ideas_within_the_boundaries_abov;Proposing radical ideas within the boundaries above;پیشنهاد ایده‌های بنیادین در چارچوب مرزهای بالا;پێشنیاری بیرۆکەی بنەڕەتی لە چوارچێوەی سنوورەکانی سەرەوە;اقتراح أفكار جذرية ضمن الحدود أعلاه;برزی سیمسرانی تہا بنیاتی ھیالانی پݔش‌کش کنگ;یوخاریداکی سرحدلر چرچیوه‌سینده رادیکال فیکیرلر تکلیف ائتمک
x_join_as_volunteer;Join as Volunteer;ثبت‌نام داوطلبانه;تۆمارکردنی خۆبەخش;سجّل كمتطوع;رزا کار ءِ ڈؤل ءَ ھوار بئیت;کؤنوللو اولاراق قوشولون
x_read_all_public_channels_watch_livestreams_self_jo;Follow public updates, read open channels, and watch livestreams.;به‌روزرسانی‌های عمومی را دنبال کنید، کانال‌های باز را بخوانید و پخش زنده را تماشا کنید.;دواداچوونی نوێکارییە گشتییەکان بکە، کەناڵە کراوەکان بخوێنەوە و پەخشی ڕاستەوخۆ ببینە.;تابع التحديثات العامة، واقرأ القنوات المفتوحة، وشاهد البث المباشر.;عامی نوکانی ءَ دنبەل بکن اِت، وا چۆن چینلانی بوان اِت ءُ زندگݔں شنگ ءَ بچار اِت.;آچیق یئنیلملری ایزله‌یین، آچیق کاناللاری اوخویون و جانلی یایینلاری ایزله‌یین.
x_accept_code_of_conduct_write_in_channels_join_work;Accept the code of conduct, contribute ideas and discussion in channels, and join working groups. Coming soon.;منشور رفتاری را بپذیرید، در کانال‌ها ایده و گفت‌وگو مشارکت کنید و به کارگروه‌ها بپیوندید. به‌زودی.;کۆدی ڕەفتار بپەسێنە، لە کەناڵەکاندا بە بیرۆکە و گفتوگۆ بەشداربە و بچۆ ناو کارگرووپەکان. بەم زووانە.;اقبل مدونة السلوك، وشارك بالأفكار والنقاش داخل القنوات، وانضم إلى مجموعات العمل. قريباً.;رپتاری رھبنداں منّ اِت، چینلانی تہا ھیال ءُ گفتگۆ ءَ پدگیری بکن اِت ءُ کار ءِ گرۏپاں ھوار بئیت. گیشتر نیا.;داورانیش قایدالارینی قبول ائدین، کاناللاردا فیکیر و باحثلره قاتیلین و ایشچی قروپلارا قوشولون. یاخیندا.
